Company,Year,Current Ratio,Debt/Assets,Debt/Equity,Net Margin,ROA,ROE,Asset Turnover
Apple Inc,2025,0.89,79.48%,3.87,26.92%,31.18%,151.91%,1.16
Apple Inc,2024,0.87,84.4%,5.41,23.97%,25.68%,164.59%,1.07
Apple Inc,2023,0.99,82.37%,4.67,25.31%,27.51%,156.08%,1.09
Microsoft Corporation,2025,1.35,44.51%,0.8,36.15%,16.45%,29.65%,0.46
Microsoft Corporation,2024,1.27,47.58%,0.91,35.96%,17.21%,32.83%,0.48
Microsoft Corporation,2023,1.77,49.94%,1,34.15%,17.56%,35.09%,0.51
JPMorgan Chase & Co,2025,14.85,91.81%,11.21,20.39%,1.29%,15.74%,0.06
JPMorgan Chase & Co,2024,0.65,91.39%,10.61,21.59%,1.46%,16.96%,0.07
JPMorgan Chase & Co,2023,0.31,91.54%,10.82,20.97%,1.28%,15.11%,0.06
Alphabet Inc Class A,2025,2.01,30.24%,0.43,32.8%,22.2%,31.83%,0.68
Alphabet Inc Class A,2024,1.84,27.8%,0.39,28.6%,22.24%,30.8%,0.78
Alphabet Inc Class A,2023,2.1,29.58%,0.42,24.01%,18.34%,26.04%,0.76
Johnson & Johnson,2025,1.03,59.07%,1.44,28.46%,13.46%,32.87%,0.47
Johnson & Johnson,2024,1.11,60.31%,1.52,15.84%,7.81%,19.68%,0.49
Johnson & Johnson,2023,1.16,58.96%,1.44,41.28%,20.98%,51.11%,0.51
Walmart Inc.,2026,0.79,65.01%,1.86,3.07%,7.69%,21.98%,2.51
Walmart Inc.,2025,0.82,65.11%,1.87,2.85%,7.45%,21.36%,2.61
Walmart Inc.,2024,0.83,64.12%,1.79,2.39%,6.15%,17.13%,2.57
Exxon Mobil Corp,2025,1.15,42.23%,0.73,8.91%,6.42%,11.12%,0.72
Exxon Mobil Corp,2024,1.31,41.85%,0.72,9.93%,7.43%,12.77%,0.75
Exxon Mobil Corp,2023,1.48,45.58%,0.84,10.76%,9.57%,17.58%,0.89
